,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Temp,Wind Speed
0,Pevek,0,RU,1522645955,74,69.7,170.27,27.94,27.94,15.23
1,Provideniya,75,RU,1522643400,100,64.42,-173.23,32.0,32.0,6.71
2,Baijiantan,8,CN,1522645957,91,45.63,85.18,40.09,40.09,6.85
3,Airai,32,TL,1522645958,73,-8.93,125.41,80.95,80.95,0.58
4,Hasaki,40,JP,1522643400,56,35.73,140.83,71.6,68.27,11.41
5,Bama,64,CN,1522645951,70,24.14,107.25,79.96,79.96,5.61
6,Geraldton,90,CA,1522643940,85,49.72,-86.95,15.8,15.8,6.93
7,Buala,92,SB,1522645952,89,-8.15,159.59,83.11,83.11,4.94
8,Ushuaia,75,AR,1522641600,81,-54.81,-68.31,48.2,48.2,3.36
9,Puerto Ayora,8,EC,1522645952,100,-0.74,-90.35,76.0,76.0,4.72
10,Marystown,92,CA,1522645953,93,47.17,-55.16,39.28,39.28,25.19
11,Mastic Beach,1,US,1522644960,51,40.77,-72.85,41.0,37.96,10.87
12,Hilo,20,US,1522641180,78,19.71,-155.08,77.0,77.0,11.41
13,Bambous Virieux,40,MU,1522641600,83,-20.34,57.76,82.4,82.4,10.29
14,Mataura,56,NZ,1522645955,52,-46.19,168.86,66.1,66.1,17.69
15,Bluff,64,AU,1522645963,48,-23.58,149.07,86.26,86.26,18.48
16,Busselton,0,AU,1522645956,79,-33.64,115.35,76.09,76.09,6.62
17,Cape Town,0,ZA,1522641600,93,-33.93,18.42,59.0,59.0,4.7
18,Atar,0,MR,1522645957,49,20.52,-13.05,55.93,55.93,4.94
19,Punta Arenas,90,CL,1522641600,87,-53.16,-70.91,48.2,48.2,14.99
20,Ozernovskiy,76,RU,1522645958,88,51.5,156.52,26.86,26.86,5.28
21,Rikitea,0,PF,1522645738,100,-23.12,-134.97,79.33,79.33,7.18
22,Westport,90,IE,1522645200,93,53.8,-9.52,35.6,35.6,17.22
23,Nouadhibou,40,MR,1522641600,82,20.93,-17.03,62.6,62.6,12.75
24,Lebu,0,ET,1522645959,44,8.96,38.73,66.1,66.1,4.16
25,Albany,75,US,1522644840,54,42.65,-73.75,30.2,28.87,3.15
26,Voh,92,NC,1522645968,89,-20.95,164.69,81.4,81.4,12.66
27,Milkovo,0,BG,1522645200,65,41.53,24.68,50.0,48.13,16.11
28,Narsaq,0,GL,1522645961,75,60.91,-46.05,19.84,19.84,8.97
29,Upernavik,32,GL,1522645961,83,72.79,-56.15,19.03,19.03,9.86
30,Barrow,8,AR,1522645962,89,-38.31,-60.23,47.47,47.47,3.38
31,Iqaluit,90,CA,1522641600,85,63.75,-68.52,10.4,10.4,5.82
32,Jalu,0,LY,1522645391,49,29.03,21.55,62.05,62.05,14.79
33,Marfino,40,RU,1522643400,93,56.07,37.56,37.4,37.4,13.42
34,Laguna,0,MX,1522645964,60,27.52,-110.01,62.41,62.41,2.37
35,Riviere-au-Renard,20,CA,1522641600,53,49.0,-64.4,26.6,26.6,18.34
36,Martapura,24,ID,1522645973,70,-3.41,114.85,88.6,88.6,10.42
37,Camacha,20,PT,1522645200,82,33.08,-16.33,60.8,58.78,11.41
38,Dikson,48,RU,1522645966,100,73.51,80.55,3.73,3.73,12.55
39,Dodoma,44,TZ,1522645870,81,-6.18,35.75,70.78,70.78,4.5
40,East London,0,ZA,1522641600,88,-33.02,27.91,69.8,69.8,9.17
41,Qaanaaq,68,GL,1522645967,87,77.48,-69.36,8.23,8.23,1.7
42,Mahebourg,40,MU,1522641600,83,-20.41,57.7,82.4,82.4,10.29
43,Tura,0,IN,1522645968,59,25.52,90.21,84.73,84.73,3.71
44,Esna,36,RO,1522645977,79,45.2,27.57,48.82,48.82,8.97
45,Papanasam,40,IN,1522645200,59,10.93,79.27,91.4,91.4,3.36
46,Taoudenni,68,ML,1522645969,40,22.68,-3.98,65.29,65.29,6.17
47,Saint-Pierre,0,FR,1522645200,80,48.95,4.24,39.2,39.2,10.29
48,Saint-Philippe,75,CA,1522644900,63,45.36,-73.48,30.2,29.71,2.82
49,Klaksvik,56,FO,1522644600,86,62.23,-6.59,26.6,26.6,3.36
50,Mikuni,75,JP,1522641600,45,36.22,136.15,68.0,68.0,13.87
51,New Norfolk,0,AU,1522645200,28,-42.78,147.06,68.0,68.0,8.05
52,Calabozo,20,VE,1522645982,64,8.92,-67.43,77.98,77.98,11.65
53,Ambilobe,20,MG,1522645974,100,-13.19,49.05,77.35,77.35,2.93
54,Mangrol,0,IN,1522645983,26,25.33,76.51,97.51,97.51,4.61
55,Banda Aceh,36,ID,1522645984,100,5.56,95.32,80.23,80.23,3.38
56,Tuatapere,36,NZ,1522645976,82,-46.13,167.69,61.96,61.96,17.81
57,Khudumelapye,64,BW,1522645985,99,-23.91,24.95,64.03,64.03,9.53
58,Chuy,0,UY,1522645986,94,-33.69,-53.46,67.36,67.36,13.78
59,Uberlandia,56,BR,1522645978,95,-18.92,-48.28,66.82,66.82,5.17
60,Hofn,88,IS,1522645987,100,64.25,-15.21,30.01,30.01,6.96
61,Kedrovyy,75,RU,1522643400,73,56.17,91.82,24.8,24.8,13.42
62,Marawi,32,PH,1522645979,68,8.0,124.29,81.13,81.13,2.71
63,Kapaa,1,US,1522641360,78,22.08,-159.32,77.0,74.98,6.93
64,Illela,0,NG,1522645989,53,12.25,4.3,68.71,68.71,3.94
65,Nabire,64,ID,1522645981,87,-3.36,135.5,77.08,77.08,0.69
66,Saint George,0,GR,1522644600,65,39.45,22.34,46.4,46.4,4.7
67,Greenville,1,US,1522644960,42,34.85,-82.4,66.2,60.01,9.17
68,Gazanjyk,36,TM,1522645983,100,39.24,55.52,47.47,47.47,5.28
69,Moron,92,VE,1522645983,96,10.49,-68.2,67.99,67.99,3.15
70,Ouesso,92,CG,1522645992,100,1.61,16.05,70.87,70.87,2.93
71,Tasiilaq,24,GL,1522645984,96,65.61,-37.64,14.62,14.62,8.63
72,Bubaque,0,GW,1522641600,78,11.28,-15.83,75.2,75.2,4.7
73,Roald,75,NO,1522644600,100,62.58,6.12,30.2,29.17,3.36
74,Atuona,32,PF,1522645994,100,-9.8,-139.03,78.16,78.16,14.79
75,Mount Isa,75,AU,1522645200,26,-20.73,139.49,96.8,96.8,12.75
76,Butaritari,32,KI,1522645986,98,3.07,172.79,83.83,83.83,10.76
77,Puerto Escondido,8,MX,1522645987,100,15.86,-97.07,82.39,82.39,8.41
78,Boyolangu,20,ID,1522645995,98,-8.09,111.9,80.23,80.23,2.37
79,Jamestown,0,AU,1522645981,37,-33.21,138.6,73.57,73.57,11.21
80,Campbell River,40,CA,1522645200,64,50.02,-125.24,39.2,38.16,10.29
81,Brigantine,90,US,1522644960,76,39.41,-74.36,50.0,47.41,12.75
82,Montorio al Vomano,0,IT,1522644600,66,42.58,13.64,48.2,48.2,8.05
83,Virginia Beach,75,US,1522645140,76,36.85,-75.98,60.8,57.52,6.93
84,Tuktoyaktuk,90,CA,1522642560,84,69.44,-133.03,8.6,6.22,19.46
85,Rio Grande,92,BR,1522645407,100,-32.03,-52.1,70.06,70.06,11.43
86,Saint-Georges,0,CA,1522645999,55,46.12,-70.67,20.29,20.29,5.73
87,Saskylakh,12,RU,1522645992,84,71.97,114.09,5.08,5.08,13.78
88,Yellowknife,20,CA,1522641600,59,62.45,-114.38,1.4,1.4,5.82
89,Bredasdorp,88,ZA,1522641600,88,-34.53,20.04,68.0,68.0,4.7
90,Vaini,0,IN,1522645737,46,15.34,74.49,89.41,89.41,3.38
91,Strezhevoy,40,RU,1522643400,67,60.73,77.6,21.2,21.2,6.71
92,Arraial do Cabo,48,BR,1522645994,88,-22.97,-42.02,76.72,76.72,16.02
93,Komsomolskiy,32,RU,1522645995,80,67.55,63.78,-4.55,-4.55,4.83
94,Salinopolis,88,BR,1522645701,100,-0.61,-47.36,75.64,75.64,2.37
95,Springdale,90,US,1522645200,100,36.19,-94.13,33.8,33.8,6.93
96,Marsa Matruh,0,EG,1522641600,71,31.35,27.25,57.2,57.2,6.93
97,Bintulu,75,MY,1522645200,84,3.17,113.03,87.8,87.8,8.05
98,San Patricio,12,PY,1522645997,97,-26.98,-56.83,64.39,64.39,2.59
99,Tateyama,40,JP,1522641600,46,36.66,137.31,73.4,73.4,10.29
100,Grand Gaube,40,MU,1522641600,83,-20.01,57.66,82.4,82.4,10.29
101,Manga,0,BF,1522645998,35,11.67,-1.07,73.21,73.21,3.49
102,Nelson Bay,32,AU,1522645200,35,-32.72,152.14,87.8,87.8,6.93
103,Polunochnoye,0,RU,1522646008,82,60.87,60.43,31.36,31.36,5.95
104,Ponta Delgada,75,PT,1522645200,93,37.73,-25.67,60.8,60.8,13.87
105,Esperance,20,TT,1522641600,83,10.24,-61.45,73.4,73.4,6.17
106,Panzhihua,0,CN,1522646001,25,26.59,101.72,78.61,78.61,2.59
107,Port Lincoln,8,AU,1522646009,84,-34.72,135.86,66.64,66.64,9.42
108,Bethel,1,US,1522644780,69,60.79,-161.76,33.8,33.8,19.46
109,Tazovskiy,64,RU,1522646011,86,67.47,78.7,-5.99,-5.99,16.91
110,Thompson,5,CA,1522645200,61,55.74,-97.86,-18.41,-18.41,4.7
111,Tilichiki,76,RU,1522646003,91,60.47,166.1,32.71,32.71,15.35
112,Ancud,0,CL,1522646004,85,-41.87,-73.83,44.41,44.41,3.15
113,Chokurdakh,0,RU,1522646013,80,70.62,147.9,6.79,6.79,3.83
114,Alyangula,20,AU,1522646005,81,-13.85,136.42,91.3,91.3,11.99
115,Khatanga,68,RU,1522646005,84,71.98,102.47,-5.54,-5.54,10.76
116,Maglaj,0,BA,1522645200,86,44.55,18.1,39.2,39.2,4.7
117,Palmer,0,AU,1522643400,49,-34.85,139.16,69.8,69.8,19.46
118,Puerto El Triunfo,40,SV,1522641000,88,13.27,-88.55,77.0,77.0,1.12
119,Victoria,75,BN,1522645200,74,5.28,115.24,86.0,85.21,3.36
120,Barguzin,64,RU,1522646016,47,53.62,109.63,15.79,15.79,6.29
121,Itoman,20,JP,1522644960,57,26.12,127.67,75.2,74.52,8.05
122,Hermanus,0,ZA,1522646009,90,-34.42,19.24,54.76,54.76,2.26
123,Pareora,88,NZ,1522646019,71,-44.49,171.21,63.22,63.22,6.51
124,Vila,0,IT,1522644600,48,45.18,8.4,41.0,40.12,2.24
125,Faanui,80,PF,1522646012,100,-16.48,-151.75,81.85,81.85,13.89
126,Sinnamary,92,GF,1522645862,100,5.38,-52.96,78.34,78.34,9.64
127,Gondar,90,PT,1522645200,100,41.82,-8.78,55.4,52.84,9.17
128,Avarua,75,CK,1522641600,78,-21.21,-159.78,82.4,82.4,8.05
129,Mar del Plata,0,AR,1522646013,80,-46.43,-67.52,54.76,54.76,11.43
130,Takoradi,20,GH,1522646014,100,4.89,-1.75,79.87,79.87,9.42
131,Smithers,1,CA,1522645200,79,54.78,-127.17,23.0,23.0,3.36
132,Makakilo City,1,US,1522641420,69,21.35,-158.09,78.8,77.92,5.82
133,Castro,0,CL,1522646015,98,-42.48,-73.76,43.33,43.33,3.49
134,Tarakan,64,ID,1522646024,98,3.3,117.63,81.58,81.58,4.27
135,Beidao,0,CN,1522646017,53,34.57,105.89,69.34,69.34,3.71
136,Husavik,76,CA,1522646017,87,50.56,-96.99,6.25,6.25,13.22
137,Carnarvon,20,ZA,1522646026,86,-30.97,22.13,58.09,58.09,2.71
138,Cabo San Lucas,20,MX,1522641060,14,22.89,-109.91,77.0,77.0,4.7
139,Guerrero Negro,68,MX,1522646019,100,27.97,-114.04,53.14,53.14,6.29
140,Khandyga,8,RU,1522646019,51,62.65,135.58,36.94,36.94,4.5
141,Luderitz,44,NA,1522641600,100,-26.65,15.16,59.0,59.0,10.29
142,Balaguer,76,ES,1522646020,77,41.79,0.81,38.65,38.65,2.82
143,Ocho Rios,20,JM,1522641600,74,18.41,-77.1,78.8,78.8,8.05
144,Pemba,75,MZ,1522643400,94,-12.97,40.52,71.6,71.6,4.7
145,Geilo,32,NO,1522646021,76,60.53,8.21,2.47,2.47,2.15
146,Henties Bay,76,NA,1522646022,99,-22.12,14.28,63.76,63.76,4.83
147,Diffa,0,NE,1522646022,17,13.32,12.61,71.32,71.32,10.76
148,Meulaboh,0,ID,1522646023,100,4.14,96.13,84.64,84.64,5.17
149,Celestun,0,MX,1522646023,100,20.87,-90.4,76.36,76.36,16.69
150,Carmen,0,PH,1522646032,34,7.2,124.8,97.33,97.33,8.52
151,Chernyshevskiy,32,RU,1522646025,54,63.01,112.47,6.79,6.79,11.43
152,Swan Hill,0,AU,1522646026,51,-35.34,143.56,72.13,72.13,12.77
153,Cherskiy,0,RU,1522646026,70,68.75,161.3,28.21,28.21,7.07
154,Longyearbyen,0,NO,1522644600,39,78.22,15.63,12.2,12.2,17.22
155,Dunedin,44,NZ,1522645737,48,-45.87,170.5,66.19,66.19,13.44
156,Lorengau,48,PG,1522646028,99,-2.02,147.27,83.56,83.56,8.75
157,Fairbanks,1,US,1522645080,39,64.84,-147.72,30.2,25.36,8.05
158,Bodden Town,20,KY,1522641600,78,19.28,-81.25,78.8,78.8,6.93
159,Hamilton,75,BM,1522641300,93,32.3,-64.78,66.2,66.2,3.36
160,Hastings,0,NZ,1522646026,80,-39.64,176.84,68.17,68.17,3.71
161,Beitbridge,32,ZA,1522646030,87,-22.21,29.99,70.96,70.96,7.07
162,Kaniama,88,CD,1522646030,94,-7.57,24.18,70.69,70.69,2.15
163,Ballina,90,IE,1522645200,93,54.11,-9.15,35.6,35.6,17.22
164,Tecoanapa,5,MX,1522640820,88,16.99,-99.26,77.0,77.0,3.36
165,Garhi Khairo,76,PK,1522646039,57,28.06,67.98,83.56,83.56,6.62
166,Labuhan,48,ID,1522646032,90,-2.54,115.51,80.41,80.41,2.71
167,Singaraja,64,ID,1522645838,94,-8.11,115.08,79.06,79.06,1.25
168,Pyaozerskiy,24,RU,1522646033,74,65.83,31.17,22.63,22.63,3.27
169,Hithadhoo,88,MV,1522646033,98,-0.6,73.08,85.99,85.99,8.08
170,Yar-Sale,0,RU,1522646042,91,66.83,70.83,-6.98,-6.98,11.54
171,Gold Coast,92,AU,1522643400,65,-28.0,153.41,80.6,80.6,10.29
172,Bedele,12,ET,1522646043,93,8.46,36.35,63.04,63.04,3.6
173,Leningradskiy,0,RU,1522646043,82,69.38,178.42,19.93,19.93,7.63
174,Notodden,0,NO,1522644600,41,59.56,9.26,24.8,24.8,5.82
175,Ayolas,12,PY,1522646044,96,-27.39,-56.84,63.85,63.85,4.16
176,Pacific Grove,1,US,1522643700,81,36.62,-121.92,57.2,54.97,8.19
177,Qandala,24,SO,1522646037,58,11.47,49.87,82.57,82.57,1.59
178,Mount Gambier,88,AU,1522645980,70,-37.83,140.78,64.03,64.03,7.18
179,Port Elizabeth,90,US,1522644900,61,39.31,-74.98,50.0,49.08,4.7
180,Saldanha,88,PT,1522646038,84,41.42,-6.55,48.46,48.46,8.41
181,Port Alfred,56,ZA,1522646047,88,-33.59,26.89,72.31,72.31,8.19
182,Jiazi,40,CN,1522641600,54,19.61,110.49,82.4,82.4,4.47
183,Whitehorse,90,CA,1522641600,67,60.72,-135.06,23.0,23.0,5.82
184,Altay,44,CN,1522646049,76,47.83,88.13,23.89,23.89,3.15
185,Eureka,90,US,1522643700,93,40.8,-124.16,51.8,50.32,8.05
186,Semnan,0,IR,1522641600,25,35.58,53.39,62.6,62.6,2.24
187,Antofagasta,20,CL,1522641600,63,-23.65,-70.4,64.4,64.4,3.36
188,Ixtapa,5,MX,1522640520,100,20.71,-105.21,71.6,71.6,1.59
189,Moga,0,IN,1522646044,60,30.82,75.17,88.78,88.78,5.84
190,Yafran,80,LY,1522646053,61,32.06,12.53,53.68,53.68,5.17
191,Ribeira Grande,32,PT,1522646046,98,38.52,-28.7,61.87,61.87,23.29
192,Peniche,75,PT,1522645200,100,39.36,-9.38,55.4,55.4,8.05
193,Arzgir,44,RU,1522646055,91,45.37,44.21,46.21,46.21,16.8
194,Emerald,64,AU,1522646047,57,-23.53,148.16,85.09,85.09,16.24
195,Diego de Almagro,0,CL,1522646048,91,-26.39,-70.05,54.04,54.04,1.36
196,Kilkis,20,GR,1522644600,75,40.99,22.87,42.8,42.8,5.82
197,Cabedelo,75,BR,1522641600,94,-6.97,-34.84,77.0,77.0,4.7
198,Vizinga,0,RU,1522646049,80,61.08,50.08,30.37,30.37,3.71
199,Richards Bay,44,ZA,1522646050,94,-28.77,32.06,72.31,72.31,4.27
200,Tiksi,48,RU,1522646058,83,71.64,128.87,17.23,17.23,7.07
201,Hobyo,48,SO,1522646059,77,5.35,48.53,83.29,83.29,4.05
202,Mountain Home,40,US,1522641480,61,43.13,-115.69,53.6,52.21,4.7
203,Sao Filipe,0,CV,1522646052,97,14.9,-24.5,69.97,69.97,15.79
204,Takapau,0,NZ,1522646053,51,-40.02,176.35,64.93,64.93,12.33
205,Uvinza,76,TZ,1522646053,91,-5.1,30.39,66.91,66.91,2.93
206,Kudahuvadhoo,44,MV,1522646053,98,2.67,72.89,86.26,86.26,6.06
207,Georgetown,64,GY,1522645897,88,6.8,-58.16,75.46,75.46,5.28
208,Nome,75,US,1522644900,94,30.04,-94.42,68.0,67.53,3.36
209,Carlyle,75,CA,1522641600,78,49.63,-102.27,8.6,8.6,6.93
210,Sitka,56,US,1522646056,63,37.17,-99.65,35.5,35.5,10.42
211,Harper,75,US,1522644900,77,30.3,-99.24,69.8,68.63,8.05
212,San,64,ML,1522646057,44,13.3,-4.9,73.12,73.12,4.94
213,Huatulco,75,MX,1522640700,100,15.84,-96.33,78.8,78.8,8.19
214,Port Moresby,40,PG,1522645200,66,-9.47,147.16,87.8,87.8,11.41
215,Eufaula,1,US,1522643700,87,31.89,-85.15,60.8,55.99,5.39
216,Pesaro,0,IT,1522644900,70,43.91,12.91,48.2,45.18,1.12
217,Souillac,0,FR,1522645200,57,45.6,-0.6,50.0,50.0,11.41
218,Jackson,90,US,1522644960,87,35.61,-88.82,50.0,46.0,11.41
219,Qaqortoq,0,GL,1522646069,80,60.72,-46.03,34.6,34.6,23.96
220,Zhigansk,64,RU,1522646062,66,66.77,123.37,21.46,21.46,3.6
221,Rome,0,IT,1522642800,75,41.89,12.48,48.2,44.78,6.93
222,Alghero,0,IT,1522644600,100,40.56,8.32,37.4,37.4,3.36
223,Taungdwingyi,0,MM,1522646063,59,20.0,95.55,89.77,89.77,1.25
224,Galveston,90,US,1522643820,100,40.58,-86.19,30.2,28.4,5.82
225,Kaitangata,64,NZ,1522646072,52,-46.28,169.85,67.0,67.0,13.44
226,Fortuna,0,ES,1522645200,40,38.18,-1.13,55.4,54.5,1.12
227,Abu Samrah,0,SY,1522646065,75,35.3,37.18,59.53,59.53,4.61
228,Ust-Kan,0,RU,1522646065,58,50.93,84.77,19.48,19.48,2.48
229,Hobart,0,AU,1522645200,28,-42.88,147.33,68.0,68.0,8.05
230,Ponta do Sol,76,BR,1522646075,98,-20.63,-46.0,64.84,64.84,1.7
231,Butembo,20,CD,1522646076,92,0.12,29.29,67.99,67.99,1.81
232,Popricani,75,RO,1522645200,81,47.29,27.51,42.8,42.8,1.12
233,Turukhansk,64,RU,1522646069,86,65.8,87.96,4.63,4.63,14.67
234,Mindelo,75,PT,1522645200,87,41.31,-8.72,55.4,55.4,17.22
235,Derzhavinsk,92,KZ,1522646070,94,51.1,66.31,29.47,29.47,11.21
236,General Roca,0,AR,1522641600,82,-39.03,-67.58,60.8,60.8,2.24
237,Helong,20,CN,1522646071,63,25.94,116.13,78.52,78.52,6.17
238,Praia,0,BR,1522641600,77,-20.25,-43.81,69.8,69.8,6.93
239,Mehamn,0,NO,1522646081,80,71.03,27.85,15.16,15.16,3.38
240,Rawson,0,AR,1522646082,39,-43.3,-65.11,60.43,60.43,12.1
241,Kavaratti,0,IN,1522646082,100,10.57,72.64,84.01,84.01,3.15
242,Pisco,0,PE,1522641600,73,-13.71,-76.2,71.6,71.6,3.36
243,Ostrovnoy,8,RU,1522646075,91,68.05,39.51,18.76,18.76,12.44
244,Petropavlovsk-Kamchatskiy,40,RU,1522643400,47,53.05,158.65,33.8,33.8,6.71
245,Fort-Shevchenko,0,KZ,1522646084,89,44.51,50.26,44.41,44.41,24.07
246,Palana,64,RU,1522646077,73,59.08,159.95,35.5,35.5,8.41
247,Flinders,0,AU,1522641600,30,-34.58,150.85,84.2,84.2,9.17
248,Namatanai,32,PG,1522646077,91,-3.66,152.44,86.26,86.26,7.85
