,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Temp,Wind Speed
249,Huehuetan,44,MX,1522640460,94,15.02,-92.38,73.4,73.4,9.17
250,Kalabo,36,ZM,1522646078,78,-15.0,22.67,68.71,68.71,9.98
251,Ust-Karsk,24,RU,1522646078,29,52.71,118.82,28.12,28.12,9.53
252,Kodiak,1,US,1522641180,100,39.95,-94.76,15.8,15.8,3.94
253,Vao,92,EE,1522646079,94,59.1,26.19,33.16,33.16,12.66
254,Leshukonskoye,0,RU,1522646080,65,64.9,45.76,28.39,28.39,3.83
255,Kavieng,8,PG,1522646089,100,-2.57,150.8,85.63,85.63,8.52
256,Ulladulla,0,AU,1522641600,30,-35.36,150.48,84.2,84.2,9.17
257,Mitzic,48,GA,1522646082,97,0.78,11.55,70.33,70.33,2.82
258,Norman Wells,90,CA,1522645200,85,65.28,-126.83,17.6,17.6,18.34
259,Port Augusta,0,AU,1522645200,56,-32.49,137.76,71.6,71.6,20.8
260,Vestmannaeyjar,92,IS,1522646091,99,63.44,-20.27,36.94,36.94,11.1
261,Mwingi,88,KE,1522646084,100,-0.93,38.07,66.73,66.73,0.69
262,Iquique,0,CL,1522641600,77,-20.22,-70.14,66.2,66.2,3.36
263,Paamiut,8,GL,1522646085,82,61.99,-49.67,33.97,33.97,10.2
264,Batemans Bay,0,AU,1522646085,72,-35.71,150.18,72.22,72.22,8.3
265,Chkalovsk,90,RU,1522643400,93,56.76,43.24,35.6,35.6,13.42
266,Bilibino,44,RU,1522646086,78,68.06,166.44,33.61,33.61,4.83
267,Xining,0,CN,1522646095,17,36.62,101.77,65.56,65.56,0.58
268,Cururupu,80,BR,1522646095,99,-1.82,-44.87,76.63,76.63,2.93
269,Katsuura,40,JP,1522641600,49,33.93,134.5,71.6,71.6,11.41
270,Raudeberg,0,NO,1522644600,92,61.99,5.14,30.2,30.2,9.17
271,Ambon,0,FR,1522645200,76,47.55,-2.56,50.0,50.0,10.29
272,Mayo,75,CA,1522641600,35,63.59,-135.9,26.6,26.6,2.24
273,Prieska,44,ZA,1522646099,73,-29.67,22.74,66.73,66.73,4.16
274,Kindu,8,CD,1522646099,84,-2.95,25.92,76.9,76.9,2.71
275,Talnakh,48,RU,1522646092,85,69.49,88.39,-6.26,-6.26,13.89
276,Christchurch,68,NZ,1522643400,77,-43.53,172.64,62.6,62.6,4.7
277,Bathsheba,40,BB,1522641600,83,13.22,-59.52,77.0,77.0,12.75
278,Radha Kund,0,IN,1522646101,34,27.51,77.48,94.36,94.36,7.74
279,Sioux Lookout,90,CA,1522641600,78,50.1,-91.92,15.8,15.12,6.93
280,Yulara,0,AU,1522645200,14,-25.24,130.99,96.8,96.8,10.29
281,Arman,90,RU,1522643400,84,59.7,150.17,32.0,32.0,11.18
282,Smirnykh,36,RU,1522646095,67,49.74,142.83,41.8,41.8,9.08
283,Mujiayingzi,0,CN,1522646103,76,42.12,118.78,53.14,53.14,8.41
284,Taltal,0,CL,1522646096,99,-25.41,-70.49,51.34,51.34,1.81
285,Namibe,92,AO,1522646104,100,-15.19,12.15,75.82,75.82,5.95
286,Verkhnyaya Balkariya,90,RU,1522643400,100,43.13,43.46,41.0,41.0,4.47
287,Nikolskoye,90,RU,1522643400,93,59.7,30.79,33.8,33.8,8.95
288,Along,0,IN,1522646098,45,28.17,94.8,75.82,75.82,0.92
289,Miyako,20,JP,1522643400,38,33.63,130.94,77.0,67.68,11.41
290,Gat,0,SN,1522646107,83,14.69,-16.54,63.67,63.67,11.77
291,Mopipi,0,BW,1522646108,54,-21.2,24.86,64.48,64.48,11.32
292,Thunder Bay,90,CA,1522641600,49,48.41,-89.26,26.6,26.6,9.17
293,Challapata,0,BO,1522646101,69,-18.9,-66.78,20.47,20.47,2.04
294,Nobeoka,56,JP,1522646101,68,32.66,131.66,66.19,66.19,3.6
295,Novochernorechenskiy,80,RU,1522646102,68,56.27,91.08,25.87,25.87,9.98
296,Fredericton,1,CA,1522645200,42,45.97,-66.65,30.2,30.2,6.93
297,Ilulissat,0,GL,1522646102,65,69.22,-51.1,8.59,8.59,4.61
298,Basco,90,US,1522643700,92,40.33,-91.2,19.4,15.94,1.7
299,Boa Vista,0,BR,1522645200,54,2.82,-60.67,84.2,84.2,9.17
300,Port Keats,12,AU,1522646105,66,-14.25,129.55,95.89,95.89,5.06
301,Newnan,1,US,1522643700,42,33.38,-84.8,68.0,61.61,3.15
302,Kununurra,0,AU,1522645200,22,-15.77,128.74,102.2,102.2,14.99
303,Launceston,40,AU,1522645200,37,-41.43,147.14,66.2,66.2,12.75
304,Brae,32,GB,1522644600,86,60.4,-1.35,32.0,31.21,2.24
305,Broome,75,GB,1522644960,93,52.47,1.45,41.0,39.52,10.29
306,Corato,0,IT,1522644900,93,41.15,16.41,42.8,41.09,2.24
307,Yemtsa,80,RU,1522646116,86,63.06,40.33,20.38,20.38,6.17
308,Isilkul,92,RU,1522646108,99,54.9,71.26,27.76,27.76,11.54
309,Navahrudak,92,BY,1522646109,100,53.59,25.82,37.66,37.66,26.31
310,Sarti,0,GR,1522646109,74,40.1,23.98,56.74,56.74,6.51
311,Gubkinskiy,68,RU,1522645823,100,64.43,76.5,13.9,13.9,5.61
312,Mugur-Aksy,0,RU,1522646110,58,50.38,90.44,9.94,9.94,0.92
313,Usinsk,12,RU,1522646110,100,66.0,57.56,17.05,17.05,4.16
314,Zaysan,20,KZ,1522646111,84,47.47,84.87,27.58,27.58,3.71
315,Lagoa,75,PT,1522645200,93,37.14,-8.45,57.2,57.2,2.24
316,Vardo,90,US,1522644900,61,39.62,-77.74,48.2,45.61,5.73
317,Baoding,0,CN,1522646112,31,38.86,115.49,86.44,86.44,10.76
318,Santa Rosa,0,AR,1522643400,93,-36.62,-64.29,55.4,55.4,2.24
319,Chibombo,32,ZM,1522646117,80,-14.68,28.09,66.91,66.91,10.76
320,Araguaina,32,BR,1522646126,96,-7.19,-48.21,72.94,72.94,5.95
321,Kars,0,TR,1522644600,80,40.61,43.1,35.6,35.6,2.24
322,Saint-Augustin,0,FR,1522645200,62,44.83,-0.61,51.8,51.8,9.17
323,Desur,0,IN,1522646119,55,12.43,79.48,89.41,89.41,4.27
324,Puerto Carreno,32,CO,1522646128,91,6.19,-67.49,69.97,69.97,2.15
325,Bulawayo,0,ZW,1522646120,69,-20.16,28.59,61.24,61.24,7.63
326,Pedro Carbo,0,EC,1522641600,69,-1.82,-80.24,78.8,78.8,8.05
327,Shache,12,CN,1522646121,28,38.42,77.24,75.55,75.55,9.75
328,Bangkal,40,PH,1522645200,46,7.07,125.56,93.2,93.2,6.93
329,Tamandare,32,BR,1522646122,96,-8.28,-70.75,71.23,71.23,2.37
330,Pakdasht,0,IR,1522643400,23,35.48,51.68,62.6,58.01,4.7
331,Ahipara,0,NZ,1522646123,76,-35.17,173.16,67.99,67.99,7.18
332,Soyo,92,AO,1522646132,100,-6.13,12.37,73.66,73.66,1.36
333,Iskateley,0,RU,1522646124,70,67.68,53.15,1.75,1.75,2.93
334,Portland,75,US,1522644960,75,45.52,-122.67,42.8,41.22,9.17
335,Udachnyy,44,RU,1522646125,53,66.42,112.4,3.46,3.46,7.18
336,Dakar,0,SN,1522646134,94,14.69,-17.45,66.19,66.19,17.81
337,Tual,44,ID,1522646126,100,-5.67,132.75,82.03,82.03,9.75
338,Kailua,1,US,1522641420,78,21.39,-157.74,78.8,77.88,5.82
339,Oga,0,NG,1522646127,76,8.18,5.65,76.27,76.27,10.31
340,Cooma,0,AU,1522646128,54,-36.24,149.13,70.87,70.87,5.95
341,Bulungu,80,CD,1522646137,97,-4.54,18.6,72.67,72.67,6.96
342,Apollonia,20,GR,1522644600,75,40.64,23.49,42.8,42.8,5.82
343,Southbridge,1,US,1522644960,37,42.08,-72.03,37.4,33.6,4.72
344,Jumla,0,NP,1522646131,61,29.28,82.18,44.41,44.41,1.36
345,Catuday,48,PH,1522646139,89,16.29,119.81,83.29,83.29,4.16
346,Orange Cove,1,US,1522644960,55,36.62,-119.31,68.0,66.22,3.36
347,Imeni Babushkina,64,RU,1522646132,87,59.76,43.13,26.41,26.41,12.66
348,Batagay,36,RU,1522646133,62,67.65,134.64,29.02,29.02,6.62
349,Mayskiy,90,RU,1522643400,100,43.63,44.06,41.0,41.0,4.47
350,Manhattan,90,US,1522644060,79,39.18,-96.57,26.6,26.6,3.36
351,Maloy,64,ID,1522646134,95,1.0,118.1,78.16,78.16,0.58
352,Mahibadhoo,80,MV,1522646134,99,3.78,72.97,85.45,85.45,4.38
353,Goundam,64,ML,1522646134,47,16.42,-3.66,75.28,75.28,2.59
354,Ossora,92,RU,1522646135,100,59.24,163.07,31.81,31.81,18.14
355,Marsh Harbour,88,BS,1522646135,100,26.54,-77.06,72.67,72.67,10.98
356,Ponte Nova,8,BR,1522646136,88,-20.42,-42.91,62.14,62.14,5.28
357,Peace River,5,CA,1522645200,47,56.23,-117.29,12.2,12.2,6.93
358,Ukiah,1,US,1522641360,44,39.15,-123.21,60.8,60.8,11.41
359,Port Hardy,40,CA,1522645200,80,50.7,-127.42,35.6,35.6,6.93
360,Adwa,0,ET,1522646145,35,14.16,38.9,73.39,73.39,3.83
361,Constitucion,0,MX,1522646138,36,23.99,-104.67,56.83,56.83,8.19
362,Vanavara,64,RU,1522646138,47,60.35,102.28,15.43,15.43,9.75
363,Erzin,0,TR,1522644600,100,36.95,36.2,59.0,54.55,2.26
364,Bonnyville,75,CA,1522645200,48,54.27,-110.74,19.4,19.4,4.7
365,Sur,0,OM,1522646148,78,22.57,59.53,83.29,83.29,3.38
366,Jiwani,0,PK,1522646148,76,25.05,61.74,83.47,83.47,4.16
367,Umm Lajj,0,SA,1522646141,82,25.02,37.27,74.47,74.47,2.04
368,Yabrud,0,SY,1522645200,50,33.97,36.66,53.6,53.6,4.7
369,Lompoc,90,US,1522645080,87,34.64,-120.46,53.6,51.53,5.73
370,Verkhnevilyuysk,0,RU,1522646143,61,63.45,120.31,25.87,25.87,4.16
371,Evensk,88,RU,1522646152,89,61.92,159.24,33.97,33.97,15.79
372,Mazara del Vallo,20,IT,1522644900,87,37.65,12.59,44.6,44.6,5.82
373,Codrington,80,AU,1522646144,97,-28.95,153.24,70.33,70.33,3.15
374,Nagato,20,JP,1522641600,77,34.35,131.14,69.8,65.68,6.93
375,Caravelas,64,BR,1522646153,100,-17.73,-39.27,80.41,80.41,8.97
376,Riyadh,90,SA,1522641600,32,24.63,46.72,68.0,68.0,3.36
377,Vila Franca do Campo,75,PT,1522645200,93,37.72,-25.43,60.8,60.8,13.87
378,Pucallpa,75,PE,1522641600,88,-8.38,-74.54,77.0,77.0,4.7
379,Cidreira,92,BR,1522646147,99,-30.17,-50.22,68.98,68.98,9.98
380,Jiaocheng,12,CN,1522646147,55,24.68,116.14,79.42,79.42,3.04
381,Itaituba,88,BR,1522646148,96,-4.26,-55.99,75.01,75.01,1.03
382,Honiara,75,SB,1522645200,89,-9.43,159.96,84.2,84.2,9.17
383,Aleksandro-Nevskiy,76,RU,1522646157,98,53.48,40.21,34.96,34.96,16.8
384,Ciudad Bolivar,20,VE,1522646149,49,8.12,-63.55,80.23,80.23,13.44
385,Palimbang,40,PH,1522645200,52,14.9,120.78,93.2,91.44,9.17
386,Kahului,40,US,1522642260,78,20.89,-156.47,77.0,75.07,6.93
387,Vanimo,64,PG,1522646159,100,-2.67,141.3,79.96,79.96,8.52
388,Mackay,1,CA,1522645200,51,53.65,-115.58,19.4,16.88,3.36
389,Berlevag,8,NO,1522646160,100,70.86,29.09,16.06,16.06,3.6
390,Merrill,1,US,1522644780,65,42.03,-121.6,46.4,46.4,19.46
391,Ihosy,24,MG,1522646162,85,-22.4,46.13,70.6,70.6,5.73
392,Wanaka,76,NZ,1522645995,50,-44.7,169.14,59.71,59.71,7.63
393,Sao Joao da Barra,20,BR,1522645856,100,-21.64,-41.05,79.6,79.6,24.74
394,Ichinohe,75,JP,1522641840,81,40.14,141.28,44.6,44.6,6.93
395,Diebougou,12,BF,1522646163,61,10.97,-3.25,68.62,68.62,4.05
396,Surt,92,LY,1522646156,94,31.21,16.59,59.89,59.89,9.42
397,Tessalit,0,ML,1522646165,33,20.2,1.01,64.03,64.03,3.83
398,Aklavik,90,CA,1522645560,78,68.22,-135.01,8.6,8.6,8.05
399,Vila Velha,75,BR,1522645200,94,-3.71,-38.6,78.8,78.8,5.82
400,Mandali,0,IQ,1522646166,64,33.75,45.55,68.44,68.44,1.81
401,Luganville,92,VU,1522646167,100,-15.51,167.18,78.25,78.25,5.84
402,Maroantsetra,100,MG,1522646159,100,-15.43,49.74,73.93,73.93,5.06
403,Ondjiva,8,AO,1522646160,86,-17.07,15.73,66.91,66.91,4.16
404,Anloga,75,GH,1522641600,83,5.79,0.9,84.2,84.2,10.29
405,Suluq,75,LY,1522643400,71,31.67,20.25,57.2,57.2,14.99
406,Foki,64,RU,1522646161,90,56.69,54.35,31.63,31.63,3.71
407,Nemuro,20,JP,1522641600,61,43.32,145.57,46.4,46.4,8.05
408,Medea,20,DZ,1522645200,41,36.27,2.77,59.0,59.0,3.36
409,Pundaguitan,0,PH,1522646163,94,6.37,126.17,85.09,85.09,8.41
410,Wanning,75,AT,1522644600,80,48.64,13.53,41.0,41.0,11.41
411,Velikodvorskiy,76,RU,1522646164,98,55.25,40.67,37.39,37.39,16.69
412,Bognor Regis,75,GB,1522644600,93,50.78,-0.67,44.6,44.6,5.82
413,Muli,0,IN,1522646165,24,22.62,71.45,97.15,97.15,7.63
414,Orlik,44,RU,1522646166,49,52.51,99.83,4.54,4.54,3.71
415,Maniitsoq,8,GL,1522646166,59,65.42,-52.9,20.74,20.74,6.73
416,Gondanglegi,20,ID,1522646167,98,-7.75,112.01,80.23,80.23,2.37
417,Uglich,92,RU,1522646167,97,57.53,38.32,38.47,38.47,21.16
418,Grindavik,90,IS,1522643400,100,63.84,-22.43,37.4,36.0,16.11
419,Miandoab,0,IR,1522641600,76,36.97,46.1,46.4,46.4,9.17
420,San Pedro de Uraba,92,CO,1522646169,100,8.28,-76.38,73.21,73.21,4.38
421,Corinto,12,BR,1522646169,80,-18.36,-44.46,68.17,68.17,4.38
422,Megion,40,RU,1522643400,67,61.04,76.11,21.2,21.2,6.71
423,Kaarina,92,FI,1522644600,74,60.41,22.37,30.2,30.2,8.05
424,Santiago del Estero,88,AR,1522646079,99,-27.8,-64.26,66.19,66.19,6.85
425,Karratha,24,AU,1522646179,25,-20.74,116.85,102.01,102.01,7.74
426,Yumen,20,CN,1522646171,42,40.29,97.04,53.41,53.41,14.23
427,Sorland,76,NO,1522646180,100,67.67,12.69,35.14,35.14,1.92
428,Shibetsu,20,JP,1522641600,40,44.15,142.46,53.6,53.6,9.17
429,Tanout,0,NE,1522646173,24,14.97,8.88,62.59,62.59,6.17
430,Mocuba,0,MZ,1522646182,98,-16.84,36.99,75.01,75.01,4.16
431,Yushan,0,CN,1522641600,54,31.68,118.49,80.6,80.6,11.18
432,Salalah,20,OM,1522641000,69,17.01,54.1,80.6,80.6,4.7
433,Necochea,88,AR,1522646183,100,-38.55,-58.74,57.64,57.64,5.5
434,Kaihua,88,CN,1522646175,100,29.14,118.41,63.67,63.67,2.93
435,Rincon,1,US,1522644960,93,32.3,-81.24,62.6,59.67,3.36
436,Igrim,0,RU,1522646177,76,63.19,64.42,27.13,27.13,4.38
437,Rapid Valley,1,US,1522644960,86,44.06,-103.15,33.8,32.4,11.41
438,Gimli,76,CA,1522646178,87,50.63,-96.99,6.25,6.25,13.22
439,Mbigou,92,GA,1522646178,98,-1.9,11.91,69.61,69.61,2.93
440,Wuwei,0,CN,1522646178,37,37.93,102.64,60.16,60.16,4.27
441,Shuangcheng,0,CN,1522641600,32,45.37,126.3,55.4,55.4,17.9
442,Stari Bohorodchany,75,UA,1522643400,69,48.84,24.53,39.2,39.2,8.95
443,Severo-Yeniseyskiy,48,RU,1522646188,47,60.37,93.04,18.04,18.04,10.09
444,Mogadishu,88,SO,1522646181,100,2.04,45.34,82.21,82.21,6.17
445,Balabac,0,PH,1522646190,100,7.99,117.06,83.56,83.56,2.15
446,Newburyport,75,US,1522644960,40,42.81,-70.88,37.4,34.38,4.7
447,Gayeri,0,BF,1522646182,47,12.65,0.49,66.28,66.28,4.05
448,Viedma,0,AR,1522646183,93,-40.81,-62.99,55.03,55.03,10.98
449,Severo-Kurilsk,68,RU,1522646089,100,50.68,156.12,28.93,28.93,4.72
450,Cabimas,92,VE,1522646192,100,10.39,-71.44,74.56,74.56,4.38
451,Xinxiang,0,CN,1522646184,37,35.3,113.88,85.0,85.0,10.98
452,Wagar,0,US,1522646193,73,31.44,-87.99,58.09,58.09,4.16
453,Vilhena,36,BR,1522646185,97,-12.74,-60.15,67.54,67.54,1.92
454,San Ramon,32,NI,1522646194,80,12.92,-85.84,66.64,66.64,2.59
455,Huarmey,8,PE,1522646194,87,-10.07,-78.15,61.06,61.06,2.93
456,Aloleng,48,PH,1522646187,89,16.13,119.78,83.29,83.29,4.16
457,Xuanhua,0,CN,1522646195,28,40.61,115.04,73.84,73.84,5.17
458,Kroonstad,80,ZA,1522646196,100,-27.65,27.24,59.8,59.8,5.5
459,Margate,0,AU,1522645200,28,-43.03,147.26,68.0,68.0,8.05
460,Boralday,75,KZ,1522643400,86,43.36,76.86,37.4,37.4,2.24
461,Kikwit,80,CD,1522646189,97,-5.04,18.82,72.67,72.67,6.96
462,Omboue,88,GA,1522646198,100,-1.57,9.26,78.61,78.61,6.62
463,Carambei,88,BR,1522646199,96,-24.92,-50.1,65.2,65.2,4.72
464,Ambanja,40,MG,1522641600,90,-13.68,48.45,77.0,77.0,2.24
465,Kolno,92,PL,1522646192,96,53.41,21.93,35.59,35.59,27.87
466,Marzuq,0,YE,1522646192,17,14.4,46.47,79.96,79.96,2.15
467,Sola,0,NO,1522644600,79,58.89,5.65,26.6,25.81,2.24
468,Maltahohe,0,NA,1522646193,94,-24.83,16.98,57.73,57.73,5.73
469,Bahia Blanca,0,AR,1522646102,93,-38.72,-62.27,58.45,58.45,10.76
470,Ketchikan,1,US,1522644780,59,55.34,-131.65,37.4,35.73,4.38
471,Srivardhan,0,IN,1522646195,61,18.03,73.02,89.41,89.41,6.62
472,Chhatak,32,BD,1522646203,63,25.03,91.67,82.57,82.57,3.04
473,Onega,44,RU,1522646196,81,63.91,38.09,22.0,22.0,9.98
474,Dali,20,CN,1522646196,39,25.6,100.24,70.33,70.33,2.48
475,La Ronge,5,CA,1522641600,54,55.1,-105.3,1.4,1.4,3.36
476,Aykhal,12,RU,1522646198,62,65.95,111.51,-0.32,-0.32,10.2
477,Kruisfontein,8,ZA,1522646199,92,-34.0,24.73,66.19,66.19,3.04
478,Nirasaki,75,JP,1522641600,35,35.72,138.41,69.8,69.8,3.36
479,Coquimbo,90,CL,1522641600,87,-29.95,-71.34,57.2,57.2,2.24
480,Bandarbeyla,92,SO,1522646208,100,9.49,50.81,81.13,81.13,3.49
481,Silver City,1,US,1522644900,30,32.77,-108.28,44.6,44.6,9.17
482,Lanxi,88,CN,1522646210,64,29.21,119.46,77.71,77.71,2.71
483,Boulder,1,US,1522644120,62,40.02,-105.27,46.4,40.35,4.7
484,Kerman,40,IR,1522641600,19,30.29,57.06,60.8,60.8,3.94
485,Aksarka,0,RU,1522646202,79,66.56,67.8,-4.1,-4.1,3.94
486,Ustrzyki Dolne,76,UA,1522646203,92,49.43,22.59,31.72,31.72,10.76
487,Grand-Santi,88,GF,1522646204,100,4.27,-54.38,72.22,72.22,2.26
488,Touros,88,BR,1522646204,99,-5.2,-35.46,77.35,77.35,7.07
489,Mbengwi,88,CM,1522646205,90,6.0,10.01,58.72,58.72,1.92
490,Chapada dos Guimaraes,90,BR,1522645200,94,-15.46,-55.75,73.4,73.4,2.24
491,Buchanan,36,LR,1522646215,100,5.88,-10.05,77.98,77.98,6.4
492,Sungaipenuh,36,ID,1522646215,79,-2.08,101.38,77.8,77.8,1.36
493,Gisborne,0,NZ,1522646208,55,-38.66,178.02,68.53,68.53,10.98
494,Gamboma,92,CG,1522646208,96,-1.87,15.88,73.84,73.84,8.41
495,Clyde River,90,CA,1522645200,84,70.47,-68.59,6.8,6.8,9.17
496,Sompeta,0,IN,1522645932,64,18.93,84.6,85.99,85.99,3.71
497,Oranjemund,92,ZA,1522646090,98,-28.55,16.43,62.14,62.14,9.98
498,Manggar,48,ID,1522646218,97,-2.88,108.27,82.57,82.57,8.41
499,Dubbo,36,AU,1522645200,21,-32.25,148.6,91.4,91.4,11.41
